FASTA ID,Accession ID,Sample ID,Year,Country,Clade Designation,Native/Invasive,Latitude,Longitude,County/State,City/Town,Haplotype,Urban/Rural Habitat,Breeding habitat,Type of Collection
F005_SriLanka,MF975728,F005,2017,Sri Lanka,Major,Invasive,NA,NA,Mannar,Pesalai,Hap1,Urban,Wells/Cement Tanks,Immature
F006_SriLanka,MF975730,F006,2017,Sri Lanka,Major,Invasive,NA,NA,Mannar,Pesalai,Hap6,Urban,Wells/Cement Tanks,Immature
M003_SriLanka,MF975729,M003,2017,Sri Lanka,Major,Invasive,NA,NA,Mannar,Pesalai,Hap6,Urban,Wells/Cement Tanks,Immature
M004_SriLanka,MF975731,M004,2017,Sri Lanka,Major,Invasive,NA,NA,Mannar,Pesalai,Hap6,Urban,Wells/Cement Tanks,Immature
X01_SriLanka,MF124608,X01,2017,Sri Lanka,Major,Invasive,9.03,79.88,Mannar,Pesalai,Hap1,Rural,Wells/Cement Tanks,Immature
X02_SriLanka,MF124609,X02,2017,Sri Lanka,Major,Invasive,9.08,79.84,Mannar,Pesalai,Hap1,Rural,Wells/Cement Tanks,Immature
X03_SriLanka,MF124610,X03,2017,Sri Lanka,Major,Invasive,9.07,79.84,Mannar,Pesalai,Hap1,Urban,Wells/Cement Tanks,Immature
X04_SriLanka,MF124611,X04,2017,Sri Lanka,Major,Invasive,9.08,79.82,Mannar,Pesalai,Hap7,Urban,Wells/Cement Tanks,Immature
TutiIsland01_Sudan,MZ725449,TutiIsland01,2018,Sudan,Major,Invasive,15.6202,32.5062,Khartoum,Tuti Island,Hap2,Urban,Urban,Adult
TutiIsland02_Sudan,MZ725450,TutiIsland02,2018,Sudan,Major,Invasive,15.6202,32.5062,Khartoum,Tuti Island,Hap2,Urban,Urban,Adult
Sudan_COX1_Haplotype1_Sudan,MW197099,Sudan_COX1_Haplotype1,2020,Sudan,Major,Invasive,NA,NA,NA,NA,Hap2,NA,NA,NA
Sudan_COX1_Haplotype2_Sudan,MW197100,Sudan_COX1_Haplotype2,2020,Sudan,Major,Invasive,NA,NA,NA,NA,Hap2,NA,NA,NA
Sudan_COX1_Haplotype3_Sudan,MW197101,Sudan_COX1_Haplotype3,2020,Sudan,Major,Invasive,NA,NA,NA,NA,Hap1,NA,NA,NA
AlGeradif-1_Sudan,OK216737,AlGeradif-1,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-10_Sudan,OK216736,AlGeradif-10,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-11_Sudan,OK216735,AlGeradif-11,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-12_Sudan,OK216733,AlGeradif-12,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-13_Sudan,OK216732,AlGeradif-13,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-14_Sudan,OK216731,AlGeradif-14,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-15_Sudan,OK216730,AlGeradif-15,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-16_Sudan,OK216734,AlGeradif-16,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-17_Sudan,OK216729,AlGeradif-17,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-18_Sudan,OK216728,AlGeradif-18,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-19_Sudan,OK216727,AlGeradif-19,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-2_Sudan,OK216726,AlGeradif-2,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-20_Sudan,OK216725,AlGeradif-20,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-21_Sudan,OK216724,AlGeradif-21,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-22_Sudan,OK216723,AlGeradif-22,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-23_Sudan,OK216722,AlGeradif-23,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-24_Sudan,OK216721,AlGeradif-24,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-25_Sudan,OK216720,AlGeradif-25,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-26_Sudan,OK216719,AlGeradif-26,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-27_Sudan,OK216718,AlGeradif-27,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-28_Sudan,OK216717,AlGeradif-28,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-29_Sudan,OK216716,AlGeradif-29,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-3_Sudan,OK216715,AlGeradif-3,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-30_Sudan,OK216714,AlGeradif-30,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
